N, J, C++
0, 0.0313727855682, 0.00408291816711
10, 0.0188870429993, 0.00404119491577
20, 0.0187108516693, 0.00411701202393
30, 0.0201349258423, 0.0039439201355
40, 0.0184397697449, 0.00370287895203
50, 0.018275976181, 0.0041229724884
60, 0.0186610221863, 0.00412511825562
70, 0.0194041728973, 0.00427794456482
80, 0.019572019577, 0.00390100479126
90, 0.0183889865875, 0.00420594215393
100, 0.019073009491, 0.00430488586426
110, 0.0190370082855, 0.00437998771667
120, 0.019583940506, 0.0044960975647
130, 0.0194971561432, 0.0041811466217
140, 0.0186328887939, 0.00461602210999
150, 0.0189981460571, 0.0046820640564
160, 0.0195410251617, 0.00473213195801
170, 0.019061088562, 0.00444388389587
180, 0.0186378955841, 0.00484609603882
190, 0.0194261074066, 0.00483417510986
200, 0.0189809799194, 0.00507688522339
210, 0.0214071273804, 0.00485706329346
220, 0.0186321735382, 0.00487208366394
230, 0.0185770988464, 0.00525593757629
240, 0.0191168785095, 0.00536704063416
250, 0.0194079875946, 0.0055890083313
260, 0.0217549800873, 0.00716710090637
270, 0.0190210342407, 0.00535988807678
280, 0.0188629627228, 0.00582194328308
290, 0.0194461345673, 0.00591397285461
300, 0.0217170715332, 0.00611305236816
310, 0.0194969177246, 0.00580501556396
320, 0.0191421508789, 0.0063169002533
330, 0.0195610523224, 0.00644493103027
340, 0.0205218791962, 0.00624418258667
350, 0.0195100307465, 0.00681090354919
360, 0.0195620059967, 0.0069260597229
370, 0.0199358463287, 0.00696301460266
380, 0.020457983017, 0.00875902175903
390, 0.0194408893585, 0.00702500343323
400, 0.0194599628448, 0.00704789161682
410, 0.0193738937378, 0.00787901878357
420, 0.0218040943146, 0.00766515731812
430, 0.019248008728, 0.00757312774658
440, 0.0199420452118, 0.00806713104248
450, 0.0204770565033, 0.00892400741577
460, 0.0206570625305, 0.00800514221191
470, 0.0198020935059, 0.00853800773621
480, 0.0203139781952, 0.00865197181702
490, 0.0210409164429, 0.00905704498291
500, 0.0198969841003, 0.00868082046509
510, 0.0200731754303, 0.00936412811279
520, 0.0206668376923, 0.00998592376709
530, 0.0210480690002, 0.00951385498047
540, 0.02055311203, 0.0101079940796
550, 0.0207350254059, 0.0104069709778
560, 0.0213661193848, 0.0100688934326
570, 0.0200917720795, 0.0104138851166
580, 0.0207490921021, 0.0109739303589
590, 0.0211780071259, 0.0118720531464
600, 0.0209410190582, 0.0108499526978
610, 0.0206289291382, 0.0114009380341
620, 0.0211019515991, 0.0114920139313
630, 0.0219538211823, 0.0130791664124
640, 0.0206229686737, 0.0117819309235
650, 0.0209219455719, 0.0122809410095
660, 0.0218000411987, 0.0128121376038
670, 0.0210630893707, 0.0125639438629
680, 0.0212500095367, 0.0129859447479
690, 0.0216529369354, 0.0138099193573
700, 0.0221910476685, 0.0131769180298
710, 0.0214288234711, 0.0138149261475
720, 0.0221548080444, 0.0150339603424
730, 0.0247781276703, 0.0142998695374
740, 0.0216858386993, 0.0145628452301
750, 0.0231161117554, 0.0150620937347
760, 0.0218880176544, 0.0154271125793
770, 0.0232338905334, 0.015753030777
780, 0.0222661495209, 0.017431974411
790, 0.0218329429626, 0.0157771110535
800, 0.022047996521, 0.0164740085602
810, 0.0242371559143, 0.0177960395813
820, 0.0217528343201, 0.0166349411011
830, 0.022481918335, 0.0181620121002
840, 0.0250968933105, 0.0172379016876
850, 0.0222361087799, 0.0179948806763
860, 0.0237209796906, 0.0188579559326
870, 0.0225210189819, 0.0184299945831
880, 0.023421049118, 0.018933057785
890, 0.0257408618927, 0.0188899040222
900, 0.0227980613708, 0.0198187828064
910, 0.0241389274597, 0.0205640792847
920, 0.0227689743042, 0.0202758312225
930, 0.0237400531769, 0.0214948654175
940, 0.024749994278, 0.0208740234375
950, 0.02388215065, 0.0215549468994
960, 0.0243902206421, 0.0223610401154
970, 0.0231831073761, 0.0218529701233
980, 0.0240459442139, 0.022999048233
990, 0.0241079330444, 0.0221500396729
1000, 0.0237522125244, 0.0228998661041
1010, 0.0252501964569, 0.0230259895325
1020, 0.0242810249329, 0.0250220298767
1030, 0.0248639583588, 0.0256450176239
1040, 0.0241339206696, 0.0247378349304
1050, 0.0252110958099, 0.0271368026733
1060, 0.0245490074158, 0.027410030365
1070, 0.0249879360199, 0.0280809402466
1080, 0.0245208740234, 0.0261180400848
1090, 0.025092124939, 0.0269558429718
1100, 0.0256860256195, 0.0279200077057
1110, 0.0255019664764, 0.0288388729095
1120, 0.0286149978638, 0.0283899307251
1130, 0.0252001285553, 0.0298149585724
1140, 0.0259640216827, 0.0293669700623
1150, 0.0257980823517, 0.0303621292114
1160, 0.0284190177917, 0.0307290554047
1170, 0.0262470245361, 0.0321490764618
1180, 0.0256230831146, 0.0311079025269
1190, 0.0264389514923, 0.0339968204498
1200, 0.026468038559, 0.0320258140564
1210, 0.0264658927917, 0.0328931808472
1220, 0.0283389091492, 0.0328390598297
1230, 0.0265920162201, 0.0345900058746
1240, 0.027822971344, 0.0338220596313
1250, 0.0269680023193, 0.035343170166
1260, 0.026713848114, 0.0342950820923
1270, 0.0272369384766, 0.0361862182617
1280, 0.0273468494415, 0.0357339382172
1290, 0.0274350643158, 0.0375609397888
1300, 0.0278770923615, 0.0365741252899
1310, 0.027547121048, 0.0389440059662
1320, 0.0291380882263, 0.0373549461365
1330, 0.0279710292816, 0.0383930206299
1340, 0.0278279781342, 0.0378580093384
1350, 0.0292720794678, 0.0394511222839
1360, 0.0280158519745, 0.0394399166107
1370, 0.0284061431885, 0.0404419898987
1380, 0.0284240245819, 0.0404348373413
1390, 0.0292181968689, 0.0419778823853
1400, 0.0288531780243, 0.0411648750305
1410, 0.02903008461, 0.0448927879333
1420, 0.0291330814362, 0.0447418689728
1430, 0.0294091701508, 0.044086933136
1440, 0.0295560359955, 0.0464878082275
1450, 0.0296890735626, 0.045567035675
1460, 0.0315399169922, 0.0456387996674
1470, 0.0306890010834, 0.0463559627533
1480, 0.0300209522247, 0.0469899177551
1490, 0.030396938324, 0.0474078655243
1500, 0.0310139656067, 0.0480630397797
1510, 0.0303001403809, 0.0502970218658
1520, 0.0306859016418, 0.0489590167999
1530, 0.0314819812775, 0.0489418506622
1540, 0.0310080051422, 0.0514619350433
1550, 0.0315499305725, 0.0500700473785
1560, 0.0320959091187, 0.05095911026
1570, 0.0312268733978, 0.0521140098572
1580, 0.0315520763397, 0.0523359775543
1590, 0.0337729454041, 0.0524580478668
1600, 0.031720161438, 0.0533740520477
1610, 0.0325379371643, 0.0539140701294
1620, 0.0336210727692, 0.0550730228424
1630, 0.0327520370483, 0.0574688911438
1640, 0.0329971313477, 0.0562908649445
1650, 0.0337319374084, 0.0556609630585
1660, 0.0325381755829, 0.0567288398743
1670, 0.0327730178833, 0.0573208332062
1680, 0.0341291427612, 0.0590589046478
1690, 0.0330801010132, 0.060693025589
1700, 0.0338289737701, 0.0586550235748
1710, 0.0361061096191, 0.0588059425354
1720, 0.0364360809326, 0.0601580142975
1730, 0.0338897705078, 0.0635070800781
1740, 0.0342011451721, 0.0625309944153
1750, 0.0387890338898, 0.0619089603424
1760, 0.0351219177246, 0.0624840259552
1770, 0.0352671146393, 0.0634858608246
1780, 0.0346138477325, 0.0676121711731
1790, 0.0347430706024, 0.065089225769
1800, 0.0369131565094, 0.0661029815674
1810, 0.0366930961609, 0.0659241676331
1820, 0.0361239910126, 0.0667269229889
1830, 0.037024974823, 0.0680069923401
1840, 0.0372149944305, 0.0687530040741
1850, 0.036493062973, 0.0704510211945
1860, 0.0367939472198, 0.0713529586792
1870, 0.0370581150055, 0.0722720623016
1880, 0.0373301506042, 0.071445941925
1890, 0.0372350215912, 0.0720450878143
1900, 0.0372769832611, 0.0736320018768
1910, 0.0379030704498, 0.0724279880524
1920, 0.0387849807739, 0.0737099647522
1930, 0.0376169681549, 0.0745480060577
1940, 0.0391609668732, 0.0751810073853
1950, 0.0382950305939, 0.0755529403687
1960, 0.0393261909485, 0.0773730278015
1970, 0.0398428440094, 0.0771069526672
1980, 0.0395839214325, 0.0780549049377
1990, 0.0410330295563, 0.0791349411011
